Monthly Revenue Trend,,,,,,,,,Store Growth Over Time,,,,,,
,,,,,,,Revenue Concentration Ratio,0.5087792011,SUM of Total Spent,Location,,,,,
Transaction Date - Year-Month,SUM of Total Spent,COUNTA of Transaction ID,SUM of Quantity,MoM Growth%,Monthly Moving Average,,,,Transaction Date - Year-Month,In-store,Online,Grand Total,,,
2022-Jan,50525,349,2071,,43556.83333,,,,2022-Jan,24067.5,26457.5,50525,,,
2022-Feb,41579.5,305,1763,-17.71%,39598.5,,Sales Volatility Index,4351.97043,2022-Feb,20443.5,21136,41579.5,,,
2022-Mar,38566,320,1709,-7.25%,38656.16667,,,,2022-Mar,20011.5,18554.5,38566,,,
2022-Apr,38650,319,1733,0.22%,39416.16667,,,,2022-Apr,18138.5,20511.5,38650,,,
2022-May,38752.5,302,1659,0.27%,40232.33333,,,,2022-May,16926.5,21826,38752.5,,,
2022-Jun,40846,309,1739,5.40%,40040.83333,,,,2022-Jun,17848,22998,40846,,,
2022-Jul,41098.5,324,1767,0.62%,41187.83333,,,,2022-Jul,19728.5,21370,41098.5,,,
2022-Aug,38178,311,1716,-7.11%,39348.5,,,,2022-Aug,17664,20514,38178,,,
2022-Sep,44287,322,1796,16.00%,39952.16667,,,,2022-Sep,18071,26216,44287,,,
2022-Oct,35580.5,284,1594,-19.66%,37273,,,,2022-Oct,18447,17133.5,35580.5,,,
2022-Nov,39989,314,1708,12.39%,40742.66667,,,,2022-Nov,19874,20115,39989,,,
2022-Dec,36249.5,277,1573,-9.35%,39586.33333,,,,2022-Dec,17641,18608.5,36249.5,,,
2023-Jan,45989.5,347,2024,26.87%,39496,,,,2023-Jan,27251,18738.5,45989.5,,,
2023-Feb,36520,278,1553,-20.59%,36500.5,,,,2023-Feb,16785.5,19734.5,36520,,,
2023-Mar,35978.5,269,1556,-1.48%,37181.5,,,,2023-Mar,21337.5,14641,35978.5,,,
2023-Apr,37003,294,1547,2.85%,38702,,,,2023-Apr,19394,17609,37003,,,
2023-May,38563,304,1679,4.22%,40812.33333,,,,2023-May,17518.5,21044.5,38563,,,
2023-Jun,40540,320,1775,5.13%,40370.83333,,,,2023-Jun,19720.5,20819.5,40540,,,
2023-Jul,43334,333,1834,6.89%,39506,,,,2023-Jul,20461,22873,43334,,,
2023-Aug,37238.5,297,1598,-14.07%,37091.83333,,,,2023-Aug,18123.5,19115,37238.5,,,
2023-Sep,37945.5,299,1617,1.90%,36312.33333,,,,2023-Sep,17307,20638.5,37945.5,,,
2023-Oct,36091.5,274,1539,-4.89%,37345.83333,,,,2023-Oct,18422,17669.5,36091.5,,,
2023-Nov,34900,272,1496,-3.30%,40277,,,,2023-Nov,18003.5,16896.5,34900,,,
2023-Dec,41046,314,1707,17.61%,40328.33333,,,,2023-Dec,19512,21534,41046,,,
2024-Jan,44885,339,1864,9.35%,40260.16667,,,,2024-Jan,25715.5,19169.5,44885,,,
2024-Feb,35054,289,1534,-21.90%,39725.33333,,,,2024-Feb,18253.5,16800.5,35054,,,
2024-Mar,40841.5,320,1730,16.51%,42125.33333,,,,2024-Mar,18720.5,22121,40841.5,,,
2024-Apr,43280.5,288,1739,5.97%,42705.83333,,,,2024-Apr,18812,24468.5,43280.5,,,
2024-May,42254,332,1813,-2.37%,41577.66667,,,,2024-May,23158,19096,42254,,,
2024-Jun,42583,315,1778,0.78%,41312.66667,,,,2024-Jun,20745.5,21837.5,42583,,,
2024-Jul,39896,317,1768,-6.31%,40459.5,,,,2024-Jul,20545,19351,39896,,,
2024-Aug,41459,344,1792,3.92%,40960.66667,,,,2024-Aug,19246,22213,41459,,,
2024-Sep,40023.5,315,1666,-3.46%,40930.16667,,,,2024-Sep,18538.5,21485,40023.5,,,
2024-Oct,41399.5,325,1757,3.44%,43019.83333,,,,2024-Oct,21461.5,19938,41399.5,,,
2024-Nov,41367.5,308,1675,-0.08%,37290.5,,,,2024-Nov,17704,23663.5,41367.5,,,
2024-Dec,46292.5,343,1991,11.91%,,,,,2024-Dec,25469.5,20823,46292.5,,,
2025-Jan,24211.5,190,1029,-47.70%,,,,,2025-Jan,12501,11710.5,24211.5,,,
Grand Total,1472998.5,11362,62889,,,,,,Grand Total,723567.5,749431,1472998.5,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Store Performance,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Location,SUM of Total Spent,COUNTA of Transaction ID,SUM of Total Spent,,,,,,,,,,,,
In-store,723567.5,5617,49.12%,,,,,,,,,,,,
Online,749431,5745,50.88%,,,,,,,,,,,,
Grand Total,1472998.5,11362,100.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category Performance,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SUM of Total Spent,Location,,,,SUM of Total Spent,Discount Applied,,,,SUM of Total Spent,Transaction Year,,,,
Category,In-store,Online,Grand Total,,Category,FALSE,TRUE,Grand Total,,Category,2022,2023,2024,2025,Grand Total
Beverages,93753.5,94225,187978.5,,Beverages,65.26%,34.74%,100.00%,,Beverages,32.10%,28.51%,37.56%,1.84%,100.00%
Butchers,97626,99800,197426,,Butchers,65.61%,34.39%,100.00%,,Butchers,38.16%,28.22%,31.68%,1.95%,100.00%
Computers and electric accessories,82653.5,98249,180902.5,,Computers and electric accessories,67.12%,32.88%,100.00%,,Computers and electric accessories,29.84%,32.85%,35.14%,2.17%,100.00%
Electric household essentials,92338.5,100103,192441.5,,Electric household essentials,66.68%,33.32%,100.00%,,Electric household essentials,34.90%,30.94%,32.61%,1.55%,100.00%
Food,90613,94032,184645,,Food,68.64%,31.36%,100.00%,,Food,29.64%,34.70%,33.44%,2.22%,100.00%
Furniture,94896,91631,186527,,Furniture,67.06%,32.94%,100.00%,,Furniture,31.30%,32.26%,35.13%,1.31%,100.00%
Milk Products,85582.5,85165,170747.5,,Milk Products,66.54%,33.46%,100.00%,,Milk Products,32.20%,35.12%,31.67%,1.02%,100.00%
Patisserie,86104.5,86226,172330.5,,Patisserie,63.10%,36.90%,100.00%,,Patisserie,34.48%,30.55%,33.96%,1.01%,100.00%
Grand Total,723567.5,749431,1472998.5,,Grand Total,66.27%,33.73%,100.00%,,Grand Total,32.88%,31.58%,33.90%,1.64%,100.00%
,,,,,,,,,,,,,,,
Discount Impact,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Discount Applied,SUM of Total Spent,COUNTA of Transaction ID,SUM of Total Spent,,,,,,,,,,,,
FALSE,976118,7561,66.27%,,,,,,,,,,,,
TRUE,496880.5,3801,33.73%,,,,,,,,,,,,
Grand Total,1472998.5,11362,100.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Payment Method Share,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Payment Method,SUM of Total Spent,COUNTA of Transaction ID,SUM of Total Spent,,,,,,,,,,,,
Cash,513676,3917,34.87%,,,,,,,,,,,,
Credit Card,481135,3729,32.66%,,,,,,,,,,,,
Digital Wallet,478187.5,3716,32.46%,,,,,,,,,,,,
Grand Total,1472998.5,11362,100.00%,,,,,,,,,,,,
